GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.serialization,ValidatingObjectInputStream,6,224,0,18,2,38,0,21,0,12
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.serialization,RegexpClassNameMatcher,0,24,0,2,0,8,0,4,0,3
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.monitor,FileAlterationObserver,48,515,10,60,10,113,11,47,3,20
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.monitor,FileAlterationMonitor,4,184,1,25,3,55,1,24,0,12
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.monitor,FileEntry,50,123,9,15,16,26,18,14,10,10
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input.buffer,CircularBufferInputStream,49,118,7,15,13,34,10,9,3,5
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input.buffer,CircularByteBuffer,315,121,46,12,49,25,33,9,7,6
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input.buffer,PeekableInputStream,98,0,8,0,16,0,8,0,4,0
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input,ObservableInputStream,53,180,8,22,20,62,10,20,3,12
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input,XmlStreamReader,107,1270,12,148,23,181,13,91,4,20
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input,CharacterSetFilterReader,0,21,0,2,0,5,0,4,0,3
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input,CountingInputStream,0,86,0,6,0,20,0,10,0,7
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input,BOMInputStream.new Comparator() {...},0,21,0,4,0,8,0,4,0,2
"commons-io (Apr 1, 2019 3:03:36 PM)/commons-io/src/main/java",org.apache.commons.io.input,DemuxInputStream,13,30,3,1,5,8,3,3,1,3
