GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,MultipartEntityBuilder,28,326,5,27,6,75,6,34,1,22
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,HttpRFC7578Multipart.PercentCodec,61,77,7,9,14,21,5,7,1,3
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,HttpMultipartMode,0,44,0,0,0,9,0,1,0,1
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,HttpStrictMultipart,0,29,0,2,0,8,0,4,0,3
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,FormBodyPart,16,32,1,1,3,10,2,4,1,4
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,MultipartFormEntity,48,56,5,7,11,14,7,12,4,9
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,HttpRFC7578Multipart.Utils,24,7,2,0,5,1,3,1,2,1
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,AbstractContentBody,4,61,2,4,2,16,2,7,0,6
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,FileBody,14,76,3,5,2,18,5,7,2,6
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,FormBodyPartBuilder,34,194,4,10,7,45,3,15,0,11
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,ByteArrayBody,13,22,0,0,5,7,3,3,3,3
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,HttpRFC7578Multipart,0,108,1,9,0,28,1,8,0,4
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,AbstractMultipartForm,8,216,0,10,4,59,1,16,1,11
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,MinimalField,31,89,1,3,7,24,3,7,2,6
httpclient5 (1-Apr-2019 8:21:42 PM)/httpclient5/src/main/java,org.apache.hc.client5.http.entity.mime,Header,83,127,22,12,25,33,17,9,2,7
