Number of Classes,Line Coverage %,Line Coverage,Mutation Coverage %,Mutation Coverage,,
264,46%,6035/13100,43%,3544/8253,,
Name,Number of Classes,Line Coverage %,Line Coverage,Mutation Coverage %,Mutation Coverage,Remaining Mutants
org.apache.commons.collections4.properties,1,100%,8/8,100%,2/2,0
org.apache.commons.collections4.trie.analyzer,1,3%,1/40,0%,0/56,56
org.apache.commons.collections4.splitmap,2,77%,41/53,69%,22/32,10
org.apache.commons.collections4.trie,4,3%,31/926,1%,5/629,624
org.apache.commons.collections4.keyvalue,6,92%,118/128,86%,76/88,12
org.apache.commons.collections4.queue,6,81%,172/212,80%,102/127,25
org.apache.commons.collections4.comparators,7,81%,183/226,66%,117/178,61
org.apache.commons.collections4.multiset,7,18%,74/417,12%,29/245,216
org.apache.commons.collections4.sequence,7,87%,122/141,95%,156/165,9
org.apache.commons.collections4.collection,8,86%,326/381,87%,158/181,23
org.apache.commons.collections4.multimap,8,11%,56/506,7%,21/283,262
org.apache.commons.collections4.bidimap,11,3%,35/1162,2%,11/675,664
org.apache.commons.collections4.list,13,22%,261/1213,16%,129/800,671
org.apache.commons.collections4.bag,15,61%,291/480,51%,147/286,139
org.apache.commons.collections4.set,16,62%,279/449,58%,149/256,107
org.apache.commons.collections4,21,88%,1454/1659,83%,1005/1209,204
org.apache.commons.collections4.map,36,30%,972/3195,26%,520/1984,1464
org.apache.commons.collections4.iterators,43,84%,961/1143,87%,537/620,83
org.apache.commons.collections4.functors,52,85%,650/761,82%,358/437,79
