Number of Classes,Line Coverage %,Line Coverage,Mutation Coverage %,Mutation Coverage,
177,89%,10442/11696,80%,4946/6156,
Name,Number of Classes,Line Coverage %,Line Coverage,Mutation Coverage %,Mutation Coverage
org.apache.commons.configuration2,37,91%,3654/4015,84%,1770/2106
org.apache.commons.configuration2.beanutils,7,90%,447/497,92%,205/222
org.apache.commons.configuration2.builder,21,98%,640/651,94%,313/333
org.apache.commons.configuration2.builder.combined,13,98%,783/797,93%,293/314
org.apache.commons.configuration2.builder.fluent,2,100%,77/77,100%,60/60
org.apache.commons.configuration2.convert,7,93%,426/457,94%,297/317
org.apache.commons.configuration2.event,7,98%,222/227,96%,92/96
org.apache.commons.configuration2.interpol,9,91%,268/295,88%,106/120
org.apache.commons.configuration2.io,15,82%,702/857,78%,317/405
org.apache.commons.configuration2.plist,8,65%,962/1480,44%,446/1008
org.apache.commons.configuration2.reloading,7,97%,172/178,96%,72/75
org.apache.commons.configuration2.resolver,2,76%,118/156,42%,31/73
org.apache.commons.configuration2.spring,2,73%,33/45,70%,16/23
org.apache.commons.configuration2.sync,1,100%,14/14,100%,06-Jun
org.apache.commons.configuration2.tree,25,99%,1570/1586,93%,727/784
org.apache.commons.configuration2.tree.xpath,8,97%,296/305,90%,168/187
org.apache.commons.configuration2.web,6,98%,58/59,100%,27/27
