Number of Classes,Line Coverage %,Line Coverage,Mutation Coverage %,Mutation Coverage,
110,89%,4921/5529,80%,2998/3727,
Name,Number of Classes,Line Coverage %,Line Coverage,Mutation Coverage %,Mutation Coverage
org.apache.commons.io,19,91%,2128/2334,85%,1555/1837
org.apache.commons.io.comparator,10,99%,137/138,97%,60/62
org.apache.commons.io.filefilter,23,98%,539/549,88%,280/319
org.apache.commons.io.input,30,86%,1179/1377,77%,678/881
org.apache.commons.io.input.buffer,3,41%,58/141,35%,45/128
org.apache.commons.io.monitor,3,88%,195/222,79%,104/131
org.apache.commons.io.output,18,88%,631/714,72%,243/336
org.apache.commons.io.serialization,4,100%,54/54,100%,33/33
