Kind,Name,AvgCyclomatic,CountLine
File,"AbstractAnyAllOnePredicateTest.java",1,80
File,"AbstractArrayListTest.java",1,62
File,"AbstractAvailableLocalesTest.java",1,95
File,"AbstractBagDecorator.java",1,98
File,"AbstractBagTest.java",1,705
File,"AbstractBidiMapDecorator.java",1,90
File,"AbstractBidiMapTest.java",1,609
File,"AbstractBitwiseTrie.java",1,217
File,"AbstractClosureTest.java",1,35
File,"AbstractCollectionDecorator.java",1,177
File,"AbstractCollectionTest.java",3,1389
File,"AbstractComparatorTest.java",1,224
File,"AbstractCompositePredicateTest.java",1,144
File,"AbstractDualBidiMap.java",1,807
File,"AbstractEmptyIterator.java",1,75
File,"AbstractEmptyMapIterator.java",1,45
File,"AbstractHashedMap.java",1,1401
File,"AbstractInputCheckedMapDecorator.java",1,211
File,"AbstractIterableGetMapDecorator.java",1,140
File,"AbstractIterableMap.java",1,38
File,"AbstractIterableMapTest.java",1,211
File,"AbstractIteratorDecorator.java",1,47
File,"AbstractIteratorTest.java",2,191
File,"AbstractKeyValue.java",1,92
File,"AbstractLinkedList.java",1,1098
File,"AbstractLinkedListTest.java",1,221
File,"AbstractLinkedListTest.java",2,192
File,"AbstractLinkedMap.java",1,621
File,"AbstractListDecorator.java",1,129
File,"AbstractListIteratorDecorator.java",1,113
File,"AbstractListIteratorTest.java",2,270
File,"AbstractListTest.java",2,1388
File,"AbstractListValuedMap.java",1,290
File,"AbstractMapBag.java",2,624
File,"AbstractMapDecorator.java",1,154
File,"AbstractMapEntry.java",2,90
File,"AbstractMapEntryDecorator.java",1,91
File,"AbstractMapEntryTest.java",1,158
File,"AbstractMapIteratorDecorator.java",1,95
File,"AbstractMapIteratorTest.java",3,333
File,"AbstractMapMultiSet.java",1,565
File,"AbstractMapTest.java",1,2064
File,"AbstractMockPredicateTest.java",1,102
File,"AbstractMultiSet.java",1,509
File,"AbstractMultiSetDecorator.java",1,107
File,"AbstractMultiSetTest.java",1,717
File,"AbstractMultiValuedMap.java",1,944
File,"AbstractMultiValuedMapDecorator.java",1,187
File,"AbstractMultiValuedMapTest.java",1,1153
File,"AbstractNavigableSetDecorator.java",1,122
File,"AbstractNavigableSetTest.java",1,338
File,"AbstractNullComparatorTest.java",1,126
File,"AbstractObjectTest.java",1,336
File,"AbstractOrderedBidiMapDecorator.java",1,93
File,"AbstractOrderedBidiMapDecoratorTest.java",1,89
File,"AbstractOrderedBidiMapTest.java",1,210
File,"AbstractOrderedMapDecorator.java",1,95
File,"AbstractOrderedMapIteratorDecorator.java",1,107
File,"AbstractOrderedMapIteratorTest.java",3,165
File,"AbstractOrderedMapTest.java",1,252
File,"AbstractPatriciaTrie.java",2,2450
File,"AbstractPredicateTest.java",1,54
File,"AbstractQuantifierPredicate.java",1,56
File,"AbstractQueueDecorator.java",1,97
File,"AbstractQueueTest.java",2,383
File,"AbstractReferenceMap.java",1,1100
File,"AbstractSerializableListDecorator.java",1,71
File,"AbstractSerializableSetDecorator.java",1,72
File,"AbstractSetDecorator.java",1,75
File,"AbstractSetTest.java",1,177
File,"AbstractSetValuedMap.java",1,136
File,"AbstractSortedBagDecorator.java",1,82
File,"AbstractSortedBagTest.java",1,158
File,"AbstractSortedBidiMapDecorator.java",1,94
File,"AbstractSortedBidiMapTest.java",1,659
File,"AbstractSortedMapDecorator.java",1,172
File,"AbstractSortedMapTest.java",1,396
File,"AbstractSortedSetDecorator.java",1,97
File,"AbstractSortedSetTest.java",1,343
File,"AbstractTreeMapTest.java",1,61
File,"AbstractUntypedIteratorDecorator.java",1,67
File,"AllPredicate.java",2,115
File,"AllPredicateTest.java",1,134
File,"AndPredicate.java",1,91
File,"AnyPredicate.java",2,112
File,"ArrayIterator.java",1,204
File,"ArrayIterator2Test.java",2,147
File,"ArrayIteratorTest.java",1,86
File,"ArrayListIterator.java",1,209
File,"ArrayListIterator2Test.java",1,51
File,"ArrayListIteratorTest.java",1,120
File,"ArrayListValuedHashMap.java",1,144
File,"ArrayListValuedHashMapTest.java",1,155
File,"ArrayStack.java",1,164
File,"ArrayStackTest.java",1,122
File,"ArrayUtils.java",3,133
File,"Bag.java",0,227
File,"BagUtils.java",1,261
File,"BagUtilsTest.java",2,178
File,"BidiMap.java",0,145
File,"BooleanComparator.java",1,194
File,"BooleanComparatorTest.java",1,168
File,"BoundedCollection.java",0,50
File,"BoundedIterator.java",2,136
File,"BoundedIteratorTest.java",1,370
File,"BoundedMap.java",0,46
File,"BulkTest.java",2,495
File,"CaseInsensitiveMap.java",1,171
File,"CaseInsensitiveMapTest.java",1,152
File,"CatchAndRethrowClosure.java",3,76
File,"CatchAndRethrowClosureTest.java",1,93
File,"ChainedClosure.java",2,126
File,"ChainedTransformer.java",1,128
File,"CircularFifoQueue.java",2,430
File,"CircularFifoQueueTest.java",1,445
File,"CloneTransformer.java",1,72
File,"Closure.java",0,43
File,"ClosureTransformer.java",1,86
File,"ClosureUtils.java",1,375
File,"ClosureUtilsTest.java",2,425
File,"CollatingIterator.java",2,399
File,"CollatingIteratorTest.java",2,261
File,"CollectionBag.java",1,240
File,"CollectionBagTest.java",1,118
File,"CollectionSortedBag.java",1,166
File,"CollectionSortedBagTest.java",1,158
File,"CollectionUtils.java",2,1916
File,"CollectionUtilsTest.java",1,1959
File,"Collections701Test.java",1,56
File,"CommandVisitor.java",0,142
