Kind,Name,AvgCyclomatic,CountLine
File,"AbstractCharacterFilterReader.java",2,74
File,"AbstractFileComparator.java",1,75
File,"AbstractFileFilter.java",1,66
File,"AbstractMonitorTestCase.java",1,153
File,"AgeFileFilter.java",1,158
File,"AndFileFilter.java",2,174
File,"AndFileFilterTestCase.java",1,294
File,"AppendableOutputStream.java",1,67
File,"AppendableOutputStreamTest.java",1,52
File,"AutoCloseInputStream.java",1,94
File,"AutoCloseInputStreamTest.java",1,103
File,"BOMInputStream.java",2,411
File,"BOMInputStreamTest.java",1,773
File,"BoundedInputStream.java",1,231
File,"BoundedInputStreamTest.java",2,89
File,"BoundedReader.java",1,152
File,"BoundedReaderTest.java",1,193
File,"BrokenInputStream.java",1,108
File,"BrokenInputStreamTest.java",2,108
File,"BrokenOutputStream.java",1,85
File,"BrokenOutputStreamTest.java",2,87
File,"ByteArrayOutputStream.java",2,420
File,"ByteArrayOutputStreamTestCase.java",2,223
File,"ByteOrderMark.java",2,191
File,"ByteOrderMarkTestCase.java",1,146
File,"ByteOrderParser.java",2,66
File,"ByteOrderParserTest.java",1,44
File,"CanReadFileFilter.java",1,95
File,"CanWriteFileFilter.java",1,83
File,"CharSequenceInputStream.java",2,269
File,"CharSequenceInputStreamTest.java",1,424
File,"CharSequenceReader.java",2,164
File,"CharSequenceReaderTest.java",1,129
File,"CharacterFilterReader.java",1,48
File,"CharacterFilterReaderTest.java",1,72
File,"CharacterSetFilterReader.java",1,55
File,"CharacterSetFilterReaderTest.java",1,131
File,"Charsets.java",1,192
File,"CharsetsTestCase.java",1,84
File,"ChunkedOutputStream.java",1,87
File,"ChunkedOutputStreamTest.java",1,68
File,"ChunkedWriter.java",1,85
File,"ChunkedWriterTest.java",1,67
File,"CircularBufferInputStream.java",2,139
File,"CircularBufferInputStreamTest.java",5,83
File,"CircularByteBuffer.java",2,261
File,"ClassLoaderObjectInputStream.java",2,100
File,"ClassLoaderObjectInputStreamTest.java",1,212
File,"ClassNameMatcher.java",0,33
File,"CloseShieldInputStream.java",1,52
File,"CloseShieldInputStreamTest.java",1,63
File,"CloseShieldOutputStream.java",1,53
File,"CloseShieldOutputStreamTest.java",1,67
File,"ClosedInputStream.java",1,50
File,"ClosedInputStreamTest.java",1,35
File,"ClosedOutputStream.java",1,59
File,"ClosedOutputStreamTest.java",2,58
File,"ClosingBase.java",1,54
File,"CollectionFileListener.java",1,195
File,"ComparatorAbstractTestCase.java",1,138
File,"CompositeFileComparator.java",2,122
File,"CompositeFileComparatorTest.java",2,122
File,"ConditionalFileFilter.java",0,65
File,"ConditionalFileFilterAbstractTestCase.java",1,183
File,"CopyUtils.java",1,391
File,"CopyUtilsTest.java",1,220
File,"CountingInputStream.java",1,144
File,"CountingInputStreamTest.java",1,219
File,"CountingOutputStream.java",1,123
File,"CountingOutputStreamTest.java",3,117
File,"DefaultFileComparator.java",1,68
File,"DefaultFileComparatorTest.java",1,37
File,"DeferredFileOutputStream.java",1,325
File,"DeferredFileOutputStreamTest.java",2,398
File,"DelegateFileFilter.java",2,107
File,"DemuxInputStream.java",1,80
File,"DemuxOutputStream.java",1,87
File,"DemuxTestCase.java",1,210
File,"DirectoryFileComparator.java",1,81
File,"DirectoryFileComparatorTest.java",1,57
File,"DirectoryFileFilter.java",1,74
File,"DirectoryWalker.java",1,637
File,"DirectoryWalkerTestCase.java",1,573
File,"DirectoryWalkerTestCaseJava4.java",1,538
File,"EmptyFileFilter.java",1,86
File,"EndianUtils.java",1,481
File,"EndianUtilsTest.java",1,316
File,"ExtensionFileComparator.java",1,123
File,"ExtensionFileComparatorTest.java",1,58
File,"FalseFileFilter.java",1,75
File,"FileAlterationListener.java",0,86
File,"FileAlterationListenerAdaptor.java",1,102
File,"FileAlterationMonitor.java",2,194
File,"FileAlterationMonitorTestCase.java",1,215
File,"FileAlterationObserver.java",2,474
File,"FileAlterationObserverTestCase.java",1,386
File,"FileCleaner.java",1,159
File,"FileCleanerTestCase.java",1,30
File,"FileCleaningTracker.java",1,287
File,"FileCleaningTrackerTestCase.java",1,351
File,"FileDeleteStrategy.java",1,156
File,"FileDeleteStrategyTestCase.java",1,162
File,"FileEntry.java",1,271
File,"FileExistsException.java",1,59
File,"FileFileFilter.java",1,63
File,"FileFilterTestCase.java",2,1509
File,"FileFilterUtils.java",1,788
File,"FileSystem.java",1,357
File,"FileSystemTestCase.java",3,90
File,"FileSystemUtils.java",3,576
File,"FileSystemUtilsTestCase.java",1,628
File,"FileUtils.java",2,3103
File,"FileUtilsCleanDirectoryTestCase.java",1,148
File,"FileUtilsCleanSymlinksTestCase.java",1,271
File,"FileUtilsCopyToFileTestCase.java",1,102
File,"FileUtilsDirectoryContainsTestCase.java",1,178
File,"FileUtilsFileNewerTestCase.java",1,179
File,"FileUtilsListFilesTestCase.java",1,201
File,"FileUtilsTestCase.java",1,3128
File,"FileUtilsWaitForTestCase.java",1,63
File,"FileWriterWithEncoding.java",1,330
File,"FileWriterWithEncodingTest.java",1,262
File,"FilenameUtils.java",4,1648
File,"FilenameUtilsTestCase.java",1,1175
File,"FilenameUtilsWildcardTestCase.java",1,246
File,"FullClassNameMatcher.java",1,49
File,"FullClassNameMatcherTest.java",1,42
File,"HexDump.java",3,162
File,"HexDumpTest.java",8,242
File,"HiddenFileFilter.java",1,79
File,"IOCase.java",1,251
File,"IOCaseTestCase.java",2,381
File,"IOExceptionWithCause.java",1,66
File,"IOExceptionWithCauseTestCase.java",1,59
File,"IOFileFilter.java",0,55
File,"IOFileFilterAbstractTestCase.java",1,152
File,"IOUtils.java",1,3293
File,"IOUtilsCopyTestCase.java",1,438
File,"IOUtilsTestCase.java",1,1544
File,"IOUtilsWriteTestCase.java",1,786
File,"InfiniteCircularInputStream.java",1,51
File,"InfiniteCircularInputStreamTest.java",1,61
File,"LastModifiedFileComparator.java",3,79
File,"LastModifiedFileComparatorTest.java",6,80
File,"LineIterator.java",2,200
File,"LineIteratorTestCase.java",1,444
File,"LockableFileWriter.java",1,359
File,"LockableFileWriterTest.java",1,190
File,"MagicNumberFileFilter.java",2,271
File,"MessageDigestCalculatingInputStream.java",1,102
File,"MessageDigestCalculatingInputStreamTest.java",1,50
File,"MockSerializedClass.java",1,44
File,"MoreComplexObject.java",1,53
File,"MoreComplexObjectTest.java",1,104
File,"NameFileComparator.java",1,116
File,"NameFileComparatorTest.java",1,58
File,"NameFileFilter.java",2,190
File,"NotFileFilter.java",1,81
File,"NullInputStream.java",1,340
File,"NullInputStreamTest.java",2,237
File,"NullOutputStream.java",1,67
File,"NullOutputStreamTest.java",1,46
File,"NullReader.java",1,323
File,"NullReaderTest.java",2,234
File,"NullWriter.java",1,140
File,"NullWriterTest.java",1,41
File,"ObservableInputStream.java",2,267
File,"ObservableInputStreamTest.java",1,139
File,"OrFileFilter.java",2,166
File,"OrFileFilterTestCase.java",1,294
File,"PathFileComparator.java",1,117
File,"PathFileComparatorTest.java",1,58
File,"PeekableInputStream.java",2,94
File,"PrefixFileFilter.java",2,197
File,"ProxyInputStream.java",1,239
File,"ProxyOutputStream.java",1,168
File,"ProxyOutputStreamTest.java",1,62
File,"ProxyReader.java",1,260
File,"ProxyReaderTest.java",1,69
File,"ProxyWriter.java",1,274
File,"ProxyWriterTest.java",1,265
File,"ReaderInputStream.java",2,297
File,"ReaderInputStreamTest.java",1,148
File,"RegexFileFilter.java",2,122
File,"RegexFileFilterTestCase.java",4,112
File,"RegexpClassNameMatcher.java",1,59
File,"RegexpClassNameMatcherTest.java",1,61
File,"ReverseComparator.java",1,69
File,"ReversedLinesFileReader.java",3,368
File,"ReversedLinesFileReaderTestParamBlockSize.java",1,238
File,"ReversedLinesFileReaderTestParamFile.java",2,118
File,"ReversedLinesFileReaderTestSimple.java",1,67
File,"SelectorAdapter.java",1,75
File,"SizeFileComparator.java",2,142
File,"SizeFileComparatorTest.java",2,104
File,"SizeFileFilter.java",1,107
File,"StringBuilderWriter.java",1,164
File,"StringBuilderWriterTest.java",1,151
File,"SuffixFileFilter.java",2,198
File,"SwappedDataInputStream.java",1,266
File,"SwappedDataInputStreamTest.java",1,150
File,"SystemDefaults.java",0,36
File,"SystemDefaultsSwitch.java",1,79
File,"TaggedIOException.java",1,136
File,"TaggedIOExceptionTest.java",1,45
File,"TaggedInputStream.java",1,116
File,"TaggedInputStreamTest.java",2,128
File,"TaggedOutputStream.java",1,116
File,"TaggedOutputStreamTest.java",4,129
File,"Tailer.java",2,556
File,"TailerListener.java",0,66
File,"TailerListenerAdapter.java",1,80
File,"TailerTest.java",1,487
File,"TeeInputStream.java",1,153
File,"TeeInputStreamTest.java",1,109
File,"TeeOutputStream.java",1,108
File,"TeeOutputStreamTest.java",2,130
File,"TestUtils.java",2,241
File,"ThreadMonitor.java",1,134
File,"ThreadMonitorTestCase.java",2,86
File,"ThresholdingOutputStream.java",1,272
File,"ThresholdingOutputStreamTest.java",1,53
File,"TrueFileFilter.java",1,74
File,"UnixLineEndingInputStream.java",2,125
File,"UnixLineEndingInputStreamTest.java",1,88
File,"ValidatingObjectInputStream.java",1,209
File,"ValidatingObjectInputStreamTest.java",1,225
File,"WildcardClassNameMatcher.java",1,47
File,"WildcardClassNameMatcherTest.java",1,50
File,"WildcardFileFilter.java",2,195
File,"WildcardFilter.java",2,143
File,"WindowsLineEndingInputStream.java",2,133
File,"WindowsLineEndingInputStreamTest.java",1,77
File,"WriterOutputStream.java",1,347
File,"WriterOutputStreamTest.java",1,149
File,"XmlStreamReader.java",3,792
File,"XmlStreamReader.java",3,744
File,"XmlStreamReaderException.java",1,84
File,"XmlStreamReaderException.java",1,135
File,"XmlStreamReaderTest.java",1,485
File,"XmlStreamReaderUtilitiesCompatibilityTest.java",1,55
File,"XmlStreamReaderUtilitiesTest.java",1,332
File,"XmlStreamWriter.java",2,220
File,"XmlStreamWriterTest.java",1,163
File,"YellOnCloseInputStream.java",1,44
File,"YellOnFlushAndCloseOutputStream.java",1,68
Package,"org",0,0
Package,"org.apache",0,0
Package,"org.apache.commons",0,0
Package,"org.apache.commons.io",1,25728
Public Class,"org.apache.commons.io.ByteOrderMark",2,170
