Kind,Name,AvgCyclomatic,CountLine
File,"AbsoluteNameLocationStrategy.java",3,59
File,"AbstractCombinerTest.java",1,99
File,"AbstractConfiguration.java",1,1915
File,"AbstractEventListenerTestImpl.java",1,112
File,"AbstractHierarchicalConfiguration.java",1,977
File,"AbstractImmutableNodeHandler.java",1,159
File,"AbstractImmutableNodeHandlerTest.java",1,434
File,"AbstractListDelimiterHandler.java",2,202
File,"AbstractMultiFileConfigurationBuilderTest.java",1,109
File,"AbstractTestConfigurationEvents.java",1,189
File,"AbstractTestPListEvents.java",1,67
File,"AbstractXPathTest.java",2,164
File,"AbstractYAMLBasedConfiguration.java",2,217
File,"AlwaysReloadingDetector.java",1,43
File,"AppletConfiguration.java",1,67
File,"AutoSaveListener.java",1,163
File,"BaseConfiguration.java",1,225
File,"BaseConfigurationBuilderProvider.java",1,398
File,"BaseConfigurationXMLReader.java",1,137
File,"BaseEventSource.java",1,351
File,"BaseHierarchicalConfiguration.java",1,1062
File,"BaseNonStringProperties.java",1,191
File,"BasePathLocationStrategy.java",3,63
File,"BaseWebConfiguration.java",1,114
File,"BasicBuilderParameters.java",1,645
File,"BasicBuilderProperties.java",0,195
File,"BasicConfigurationBuilder.java",1,796
File,"BeanCreationContext.java",0,78
File,"BeanCreationTestBean.java",1,61
File,"BeanCreationTestBeanWithListChild.java",1,66
File,"BeanCreationTestCtorBean.java",1,45
File,"BeanDeclaration.java",0,115
File,"BeanDeclarationTestImpl.java",1,110
File,"BeanFactory.java",0,75
File,"BeanHelper.java",2,692
File,"BuilderConfigurationWrapperFactory.java",1,310
File,"BuilderEventListenerImpl.java",1,100
File,"BuilderParameters.java",0,62
File,"CatalogResolver.java",2,553
File,"ClasspathLocationStrategy.java",2,49
File,"CombinedBeanDeclaration.java",2,193
File,"CombinedBuilderParameters.java",0,41
File,"CombinedBuilderParametersImpl.java",1,470
File,"CombinedBuilderProperties.java",0,165
File,"CombinedConfiguration.java",1,1187
File,"CombinedConfigurationBuilder.java",1,1671
File,"CombinedConfigurationBuilderProvider.java",1,134
File,"CombinedLocationStrategy.java",2,113
File,"CombinedReloadingController.java",1,207
File,"CompositeConfiguration.java",2,667
File,"Configuration.java",0,173
File,"ConfigurationAssert.java",1,206
File,"ConfigurationAttributePointer.java",1,226
File,"ConfigurationBuilder.java",0,58
File,"ConfigurationBuilderEvent.java",1,90
File,"ConfigurationBuilderProvider.java",0,54
File,"ConfigurationBuilderResultCreatedEvent.java",1,91
File,"ConfigurationComparator.java",0,40
File,"ConfigurationConverter.java",1,155
File,"ConfigurationDeclaration.java",1,196
File,"ConfigurationDecoder.java",0,50
File,"ConfigurationDynaBean.java",2,254
File,"ConfigurationDynaClass.java",4,157
File,"ConfigurationErrorEvent.java",1,166
File,"ConfigurationEvent.java",1,215
File,"ConfigurationException.java",1,77
File,"ConfigurationInterpolator.java",1,561
File,"ConfigurationLogger.java",1,244
File,"ConfigurationLookup.java",1,79
File,"ConfigurationMap.java",1,216
File,"ConfigurationNodeIteratorAttribute.java",2,136
File,"ConfigurationNodeIteratorBase.java",1,228
File,"ConfigurationNodeIteratorChildren.java",3,212
File,"ConfigurationNodePointer.java",1,300
File,"ConfigurationNodePointerFactory.java",1,175
File,"ConfigurationNodeVisitor.java",0,72
File,"ConfigurationNodeVisitorAdapter.java",1,61
File,"ConfigurationPropertiesFactoryBean.java",1,201
File,"ConfigurationPropertySource.java",1,60
File,"ConfigurationRuntimeException.java",1,91
File,"ConfigurationUtils.java",1,675
File,"ConfigurationXMLReader.java",1,378
File,"Configurations.java",1,640
File,"ConstantLookup.java",2,171
File,"ConstructorArg.java",1,230
File,"ConversionException.java",1,78
File,"ConversionHandler.java",0,112
File,"CopyObjectDefaultHandler.java",1,110
File,"DataConfiguration.java",1,1734
File,"DatabaseBuilderParameters.java",0,41
File,"DatabaseBuilderParametersImpl.java",1,111
File,"DatabaseBuilderProperties.java",0,114
File,"DatabaseConfiguration.java",1,866
File,"DatabaseConfigurationTestHelper.java",1,302
File,"DefaultBeanFactory.java",1,353
File,"DefaultConfigurationKey.java",1,962
File,"DefaultConversionHandler.java",1,420
File,"DefaultEntityResolver.java",2,130
