Kind,Name,AvgCyclomatic,CountLine
File,"AIMDBackoffManager.java",1,168
File,"AbstractBinPushConsumer.java",2,82
File,"AbstractBinResponseConsumer.java",1,105
File,"AbstractBinaryAsyncCacheStorage.java",1,46
File,"AbstractBinaryCacheStorage.java",1,46
File,"AbstractCharPushConsumer.java",3,89
File,"AbstractCharResponseConsumer.java",2,112
File,"AbstractClientTlsStrategy.java",2,151
File,"AbstractContentBody.java",1,90
File,"AbstractCookieAttributeHandler.java",1,55
File,"AbstractCookieSpec.java",1,116
File,"AbstractHttp1IntegrationTestBase.java",1,132
File,"AbstractHttpAsyncClientAuthentication.java",1,563
File,"AbstractHttpAsyncClientBase.java",1,137
File,"AbstractHttpAsyncFundamentalsTest.java",1,214
File,"AbstractHttpAsyncRedirectsTest.java",1,845
File,"AbstractHttpClientResponseHandler.java",3,79
File,"AbstractIntegrationTestBase.java",1,114
File,"AbstractMinimalHttpAsyncClientBase.java",1,95
File,"AbstractMultipartForm.java",1,196
File,"AbstractProtocolTest.java",1,184
File,"AbstractSerializingAsyncCacheStorage.java",2,285
File,"AbstractSerializingCacheStorage.java",3,157
File,"AbstractServerTestBase.java",1,96
File,"AbstractSimpleServerExchangeHandler.java",2,97
File,"Async.java",1,125
File,"AsyncCachingExec.java",1,1055
File,"AsyncClientAuthentication.java",1,89
File,"AsyncClientConnectionEviction.java",1,127
File,"AsyncClientConnectionManager.java",0,132
File,"AsyncClientConnectionOperator.java",0,82
File,"AsyncClientCustomSSL.java",1,140
File,"AsyncClientFullDuplexExchange.java",1,157
File,"AsyncClientHttp1Pipelining.java",1,109
File,"AsyncClientHttp2FullDuplexExchange.java",1,153
File,"AsyncClientHttp2Multiplexing.java",1,110
File,"AsyncClientHttp2ServerPush.java",1,165
File,"AsyncClientHttpExchange.java",1,93
File,"AsyncClientHttpExchangeStreaming.java",1,120
File,"AsyncClientInterceptors.java",1,157
File,"AsyncClientMessageTrailers.java",1,123
File,"AsyncClientTlsAlpn.java",1,122
File,"AsyncConnectExec.java",2,400
File,"AsyncConnectionEndpoint.java",1,192
File,"AsyncEchoHandler.java",1,156
File,"AsyncExecCallback.java",0,75
File,"AsyncExecChain.java",2,95
File,"AsyncExecChainElement.java",1,77
File,"AsyncExecChainHandler.java",0,68
File,"AsyncExecRuntime.java",0,151
File,"AsyncProtocolExec.java",4,284
File,"AsyncPushConsumerRegistry.java",3,98
File,"AsyncQuickStart.java",1,156
File,"AsyncRandomHandler.java",1,217
File,"AsyncRedirectExec.java",4,249
File,"AsyncRequestBuilder.java",1,446
File,"AsyncRetryExec.java",2,148
File,"AuthCache.java",0,47
File,"AuthChallenge.java",1,94
File,"AuthChallengeParser.java",6,137
File,"AuthExchange.java",1,123
File,"AuthScheme.java",0,202
File,"AuthSchemeProvider.java",0,46
File,"AuthSchemes.java",1,74
File,"AuthScope.java",2,271
File,"AuthStateCacheable.java",0,45
File,"AuthSupport.java",3,91
File,"AuthenticatingAsyncDecorator.java",2,179
File,"AuthenticatingDecorator.java",2,105
File,"AuthenticationException.java",1,67
File,"AuthenticationStrategy.java",0,68
File,"Authenticator.java",0,38
File,"BackoffManager.java",0,53
File,"BackoffStrategyExec.java",2,99
File,"BasicAuthCache.java",2,152
File,"BasicAuthTokenExtractor.java",5,61
File,"BasicClientCookie.java",1,321
File,"BasicCookieStore.java",1,181
File,"BasicCredentialsProvider.java",1,115
File,"BasicDomainHandler.java",3,140
File,"BasicExpiresHandler.java",1,76
File,"BasicHttpAsyncCache.java",1,610
File,"BasicHttpCache.java",3,378
File,"BasicHttpCacheStorage.java",1,118
File,"BasicHttpClientConnectionManager.java",1,430
File,"BasicHttpClientResponseHandler.java",1,75
File,"BasicIdGenerator.java",1,81
File,"BasicMaxAgeHandler.java",2,77
File,"BasicPathHandler.java",2,97
File,"BasicRouteDirector.java",5,185
File,"BasicScheme.java",1,202
File,"BasicSchemeFactory.java",1,66
File,"BasicSecureHandler.java",1,69
File,"BasicTestAuthenticator.java",1,55
File,"BasicUserPrincipal.java",1,91
File,"ByteArrayBody.java",1,94
File,"ByteArrayBuilder.java",2,207
File,"ByteArrayCacheEntrySerializer.java",2,133
File,"CacheConfig.java",1,499
File,"CacheInvalidatorBase.java",1,105
File,"CacheKeyGenerator.java",2,168
File,"CacheMap.java",1,50
File,"CacheResponseStatus.java",1,57
File,"CacheRevalidatorBase.java",1,191
File,"CacheUpdateHandler.java",3,170
File,"CacheValidityPolicy.java",2,285
File,"CacheableRequestPolicy.java",9,92
File,"CachedHttpResponseGenerator.java",3,193
File,"CachedResponseSuitabilityChecker.java",3,357
File,"CachingExec.java",3,511
File,"CachingExecBase.java",2,370
File,"CachingHttp2AsyncClientBuilder.java",1,174
File,"CachingHttpAsyncClientBuilder.java",1,174
File,"CachingHttpAsyncClientCompatibilityTest.java",4,240
File,"CachingHttpAsyncClients.java",1,98
File,"CachingHttpClientBuilder.java",1,167
File,"CachingHttpClientCompatibilityTest.java",3,205
File,"CachingHttpClients.java",1,72
File,"CertificatesToPlayWith.java",0,578
File,"ChainElements.java",1,39
File,"ChallengeType.java",1,38
File,"CircularRedirectException.java",1,64
File,"ClassicHttpRequests.java",1,116
File,"ClassicRequestCopier.java",3,61
File,"ClientAbortMethod.java",1,56
File,"ClientAuthentication.java",1,62
File,"ClientChunkEncodedPost.java",2,74
