Kind,Name,AvgCyclomatic,CountLine
File,"AbstractAnnotation.java",1,225
File,"AbstractBlock.java",1,634
File,"AbstractBlockTest.java",1,153
File,"AbstractCategoryItemLabelGenerator.java",1,325
File,"AbstractCategoryItemRenderer.java",2,1768
File,"AbstractCategoryItemRendererTest.java",1,351
File,"AbstractDataset.java",1,304
File,"AbstractDialLayer.java",1,220
File,"AbstractDialLayerTest.java",1,107
File,"AbstractIntervalXYDataset.java",2,130
File,"AbstractObjectList.java",2,266
File,"AbstractOverlay.java",1,114
File,"AbstractPieItemLabelGenerator.java",2,242
File,"AbstractPieLabelDistributor.java",1,112
File,"AbstractRenderer.java",1,3240
File,"AbstractRendererTest.java",1,788
File,"AbstractSeriesDataset.java",1,117
File,"AbstractXYAnnotation.java",2,211
File,"AbstractXYDataset.java",1,102
File,"AbstractXYItemLabelGenerator.java",1,372
File,"AbstractXYItemRenderer.java",2,1758
File,"AbstractXYItemRendererTest.java",1,189
File,"AbstractXYZDataset.java",2,69
File,"Align.java",4,148
File,"Annotation.java",0,69
File,"AnnotationChangeEvent.java",1,83
File,"AnnotationChangeListener.java",0,64
File,"ApplicationFrame.java",1,126
File,"ArcDialFrame.java",1,521
File,"ArcDialFrameTest.java",1,163
File,"AreaChartTest.java",1,196
File,"AreaRenderer.java",4,370
File,"AreaRendererEndType.java",1,63
File,"AreaRendererEndTypeTest.java",1,77
File,"AreaRendererTest.java",1,150
File,"Args.java",2,90
File,"Arrangement.java",0,84
File,"ArrayUtils.java",5,198
File,"ArrowNeedle.java",2,182
File,"ArrowNeedleTest.java",1,92
File,"AttrStringUtils.java",2,333
File,"AttributedStringUtils.java",4,94
File,"Axis.java",2,1720
File,"AxisChangeEvent.java",1,73
File,"AxisChangeListener.java",0,66
File,"AxisCollection.java",1,141
File,"AxisEntity.java",1,215
File,"AxisLabelLocation.java",1,59
File,"AxisLocation.java",2,109
File,"AxisLocationTest.java",1,92
File,"AxisSpace.java",2,381
File,"AxisSpaceTest.java",1,110
File,"AxisState.java",1,192
File,"AxisTest.java",1,279
File,"BarChartTest.java",1,214
File,"BarPainter.java",0,92
File,"BarRenderer.java",2,1414
File,"BarRendererTest.java",1,312
File,"Block.java",0,120
File,"BlockBorder.java",1,243
File,"BlockBorderTest.java",1,112
File,"BlockContainer.java",1,284
File,"BlockContainerTest.java",1,100
File,"BlockFrame.java",0,72
File,"BlockParams.java",1,138
File,"BlockResult.java",1,80
File,"BooleanList.java",1,92
File,"BorderArrangement.java",7,537
File,"BorderArrangementTest.java",1,809
File,"BoxAndWhiskerCalculator.java",4,236
File,"BoxAndWhiskerCalculatorTest.java",1,165
File,"BoxAndWhiskerCategoryDataset.java",0,240
File,"BoxAndWhiskerItem.java",1,297
File,"BoxAndWhiskerItemTest.java",1,87
File,"BoxAndWhiskerRenderer.java",3,1118
File,"BoxAndWhiskerRendererTest.java",1,557
File,"BoxAndWhiskerToolTipGenerator.java",1,149
File,"BoxAndWhiskerToolTipGeneratorTest.java",1,133
File,"BoxAndWhiskerXYDataset.java",0,180
File,"BoxAndWhiskerXYToolTipGenerator.java",2,169
File,"BoxAndWhiskerXYToolTipGeneratorTest.java",1,156
File,"BubbleXYItemLabelGenerator.java",1,278
File,"BubbleXYItemLabelGeneratorTest.java",1,198
File,"CSV.java",2,201
File,"CandlestickRenderer.java",2,962
File,"CandlestickRendererTest.java",1,238
File,"CategoryAnchor.java",1,58
File,"CategoryAnchorTest.java",1,92
File,"CategoryAnnotation.java",0,72
File,"CategoryAxis.java",2,1523
File,"CategoryAxisTest.java",1,211
File,"CategoryCrosshairState.java",1,181
File,"CategoryDataset.java",0,69
File,"CategoryDatasetHandler.java",1,139
File,"CategoryItemEntity.java",1,228
File,"CategoryItemEntityTest.java",1,125
File,"CategoryItemLabelGenerator.java",0,107
File,"CategoryItemRenderer.java",0,1433
File,"CategoryItemRendererState.java",1,228
File,"CategoryLabelEntity.java",1,132
File,"CategoryLabelEntityTest.java",1,115
File,"CategoryLabelPosition.java",1,265
File,"CategoryLabelPositionTest.java",1,154
File,"CategoryLabelPositions.java",1,408
File,"CategoryLabelPositionsTest.java",1,181
File,"CategoryLabelWidthType.java",1,55
File,"CategoryLabelWidthTypeTest.java",1,89
File,"CategoryLineAnnotation.java",1,428
File,"CategoryLineAnnotationTest.java",1,162
File,"CategoryMarker.java",1,186
File,"CategoryMarkerTest.java",1,201
File,"CategoryPlot.java",2,5128
File,"CategoryPlotTest.java",1,1265
File,"CategoryPointerAnnotation.java",1,544
File,"CategoryPointerAnnotationTest.java",1,188
File,"CategoryRangeInfo.java",0,67
File,"CategorySeriesHandler.java",1,155
File,"CategorySeriesLabelGenerator.java",0,67
File,"CategoryStepRenderer.java",2,373
File,"CategoryStepRendererTest.java",1,136
File,"CategoryTableXYDataset.java",1,429
File,"CategoryTableXYDatasetTest.java",1,195
File,"CategoryTextAnnotation.java",1,285
File,"CategoryTextAnnotationTest.java",1,139
File,"CategoryTick.java",1,153
File,"CategoryTickTest.java",1,152
File,"CategoryToPieDataset.java",3,337
File,"CategoryToPieDatasetTest.java",2,220
File,"CategoryToolTipGenerator.java",0,71
File,"CategoryURLGenerator.java",0,78
File,"CenterArrangement.java",2,332
File,"CenterTextMode.java",1,59
File,"ChartChangeEvent.java",1,134
File,"ChartChangeEventType.java",1,57
File,"ChartChangeListener.java",0,65
File,"ChartColor.java",1,189
File,"ChartEditor.java",0,62
File,"ChartEditorFactory.java",0,59
File,"ChartEditorManager.java",1,94
File,"ChartEntity.java",1,436
File,"ChartFactory.java",2,2302
File,"ChartFrame.java",1,90
File,"ChartHints.java",1,109
File,"ChartMouseEvent.java",1,118
File,"ChartMouseListener.java",0,73
File,"ChartPanel.java",2,3026
File,"ChartPanelTest.java",1,346
File,"ChartProgressEvent.java",1,137
File,"ChartProgressListener.java",0,58
File,"ChartRenderingInfo.java",1,257
File,"ChartRenderingInfoTest.java",1,140
File,"ChartTheme.java",0,61
File,"ChartTransferable.java",2,277
File,"ChartUtils.java",1,731
File,"CloneUtils.java",4,139
File,"ClusteredXYBarRenderer.java",3,380
File,"ClusteredXYBarRendererTest.java",1,181
File,"ColorBlock.java",1,190
File,"ColorBlockTest.java",1,127
File,"ColumnArrangement.java",3,391
File,"ColumnArrangementTest.java",1,119
File,"CombinedDomainCategoryPlot.java",2,699
File,"CombinedDomainCategoryPlotTest.java",1,287
File,"CombinedDomainXYPlot.java",2,803
File,"CombinedDomainXYPlotTest.java",1,282
File,"CombinedRangeCategoryPlot.java",3,590
File,"CombinedRangeCategoryPlotTest.java",1,279
File,"CombinedRangeXYPlot.java",2,777
File,"CombinedRangeXYPlotTest.java",1,274
File,"ComparableObjectItem.java",1,193
File,"ComparableObjectItemTest.java",1,139
File,"ComparableObjectSeries.java",2,451
File,"ComparableObjectSeriesTest.java",1,214
File,"CompassFormat.java",1,161
File,"CompassPlot.java",2,890
File,"CompassPlotTest.java",1,142
File,"CompositeTitle.java",1,250
File,"CompositeTitleTest.java",1,166
File,"Crosshair.java",1,736
File,"CrosshairLabelGenerator.java",0,61
File,"CrosshairOverlay.java",4,597
File,"CrosshairOverlayTest.java",1,103
File,"CrosshairState.java",1,396
File,"CrosshairTest.java",1,198
File,"CustomCategoryURLGenerator.java",2,200
File,"CustomCategoryURLGeneratorTest.java",1,165
File,"CustomPieURLGenerator.java",2,226
File,"CustomPieURLGeneratorTest.java",1,122
File,"CustomXYItemLabelGeneratorTest.java",1,104
File,"CustomXYToolTipGenerator.java",2,197
File,"CustomXYURLGenerator.java",2,211
File,"CustomXYURLGeneratorTest.java",1,167
File,"CyclicNumberAxis.java",3,1184
File,"CyclicNumberAxisTest.java",1,150
File,"CyclicXYItemRenderer.java",2,513
File,"DataPackageResources.java",1,70
File,"DataPackageResources_de.java",1,70
File,"DataPackageResources_es.java",1,71
File,"DataPackageResources_fr.java",1,69
File,"DataPackageResources_pl.java",1,71
File,"DataPackageResources_ru.java",1,67
File,"DataUtils.java",3,282
File,"DataUtilsTest.java",1,245
File,"Dataset.java",0,93
File,"DatasetChangeEvent.java",1,86
File,"DatasetChangeListener.java",0,62
File,"DatasetGroup.java",1,122
File,"DatasetGroupTest.java",1,62
File,"DatasetReader.java",2,188
File,"DatasetRenderingOrder.java",1,64
File,"DatasetTags.java",0,66
File,"DatasetUtils.java",5,2378
File,"DatasetUtilsTest.java",1,1486
File,"DateAxis.java",2,1930
File,"DateAxisTest.java",1,1265
File,"DateRange.java",1,172
File,"DateRangeTest.java",1,113
File,"DateTick.java",1,139
File,"DateTickMarkPosition.java",1,58
File,"DateTickMarkPositionTest.java",1,94
File,"DateTickTest.java",1,148
File,"DateTickUnit.java",1,389
File,"DateTickUnitTest.java",1,88
File,"DateTickUnitType.java",3,176
File,"DateTitle.java",1,175
File,"DateTitleTest.java",1,125
File,"Day.java",1,443
File,"DayTest.java",1,406
File,"DefaultAxisEditor.java",1,525
File,"DefaultBoxAndWhiskerCategoryDataset.java",1,949
